Date,Geo,Confirmed,Deaths,Recovered,Daily_Recovery,Daily_Cases,Daily_Deaths,Days
02/27/20,Montréal,1,0,0,0,1,0,1
02/28/20,Montréal,1,0,0,0,0,0,2
02/29/20,Montréal,1,0,0,0,0,0,3
03/01/20,Montréal,1,0,0,0,0,0,4
03/02/20,Montréal,1,0,0,0,0,0,5
03/03/20,Montréal,1,0,0,0,0,0,6
03/04/20,Montréal,1,0,0,0,0,0,7
03/05/20,Montréal,1,0,0,0,0,0,8
03/06/20,Montréal,1,0,0,0,0,0,9
03/07/20,Montréal,1,0,0,0,0,0,10
03/08/20,Montréal,1,0,0,0,0,0,11
03/09/20,Montréal,2,0,0,0,1,0,12
03/10/20,Montréal,3,0,0,0,1,0,13
03/11/20,Montréal,3,0,1,1,0,0,14
03/12/20,Montréal,3,0,1,0,0,0,15
03/13/20,Montréal,7,0,1,0,4,0,16
03/14/20,Montréal,8,0,1,0,1,0,17
03/15/20,Montréal,10,0,1,0,2,0,18
03/16/20,Montréal,18,0,2,1,8,0,19
03/17/20,Montréal,22,0,3,1,4,0,20
03/18/20,Montréal,24,0,3,0,2,0,21
03/19/20,Montréal,28,0,3,0,4,0,22
03/20/20,Montréal,31,0,3,0,3,0,23
03/21/20,Montréal,41,0,3,0,10,0,24
03/22/20,Montréal,46,0,3,0,5,0,25
03/23/20,Montréal,265,0,4,1,219,0,26
03/24/20,Montréal,439,0,6,2,174,0,27
03/25/20,Montréal,603,1,9,3,164,1,28
03/26/20,Montréal,782,1,12,3,179,0,29
03/27/20,Montréal,971,3,13,1,189,2,30
03/28/20,Montréal,1219,3,16,3,248,0,31
03/29/20,Montréal,1361,4,19,3,142,1,32
03/30/20,Montréal,1612,4,24,5,251,0,33
03/31/20,Montréal,1991,7,36,12,379,3,34
04/01/20,Montréal,2097,7,47,11,106,0,35
04/02/20,Montréal,2642,7,62,15,545,0,36
04/03/20,Montréal,2837,29,86,24,195,22,37
04/04/20,Montréal,3261,34,139,53,424,5,38
04/05/20,Montréal,3713,41,239,100,452,7,39
04/06/20,Montréal,3977,58,346,107,264,17,40
04/07/20,Montréal,4407,64,496,150,430,6,41
04/08/20,Montréal,4775,77,709,213,368,13,42
04/09/20,Montréal,5262,93,990,281,487,16,43
04/10/20,Montréal,5617,100,1254,264,355,7,44
04/11/20,Montréal,5861,135,1580,326,244,35,45
04/12/20,Montréal,6088,153,1902,322,227,18,46
04/13/20,Montréal,6393,162,2201,299,305,9,47
04/14/20,Montréal,6628,218,2586,385,235,56,48
04/15/20,Montréal,6830,242,2997,411,202,24,49
04/16/20,Montréal,7281,332,3399,402,451,90,50
04/17/20,Montréal,7760,391,3823,424,479,59,51
04/18/20,Montréal,8052,454,4236,413,292,63,52
04/19/20,Montréal,8457,513,4565,329,405,59,53
04/20/20,Montréal,8964,525,4853,288,507,12,54
04/21/20,Montréal,9348,583,5197,344,384,58,55
04/22/20,Montréal,9856,647,5508,311,508,64,56
04/23/20,Montréal,10375,741,5830,322,519,94,57
04/24/20,Montréal,10897,808,6110,280,522,67,58
04/25/20,Montréal,11161,895,6381,271,264,87,59
04/26/20,Montréal,11621,938,6646,265,460,43,60
04/27/20,Montréal,12034,983,6907,261,413,45,61
04/28/20,Montréal,12487,1039,7248,341,453,56,62
04/29/20,Montréal,12811,1078,7607,359,324,39,63
04/30/20,Montréal,13324,1146,8077,470,513,68,64
05/01/20,Montréal,13979,1245,8410,333,655,99,65
05/02/20,Montréal,14599,1312,8813,403,620,67,66
05/03/20,Montréal,16251,1365,9123,310,1652,53,67
05/04/20,Montréal,16606,1410,9370,247,355,45,68
05/05/20,Montréal,16991,1488,9716,346,385,78,69
05/06/20,Montréal,17442,1562,10028,312,451,74,70
05/07/20,Montréal,17918,1666,10441,413,476,104,71
