Date,Geo,Confirmed,Deaths,Recovered,Hospitalizations,ICU,Tested,Positivity,Vaccinated,Vaccinated 2,Vac Distributed,Total variants,Variant B.1.1.7,Variant B.1.351,Variant P.1,Variant Nigeria,Variant unknown,Variant B.1.617,Variant B.1.1.529,Vaccinated 1,Vaccinated 3
2020-02-27,Montréal,1,0,0,0,0,45,0.0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
2020-02-28,Montréal,1,0,0,0,0,51,0.0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
2020-02-29,Montréal,1,0,0,0,0,58,0.0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
2020-03-01,Montréal,1,0,0,0,0,69,0.0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
2020-03-02,Montréal,1,0,0,0,0,78,0.0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
2020-03-03,Montréal,1,0,0,0,0,86,0.0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
2020-03-04,Montréal,1,0,0,0,0,95,0.0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
2020-03-05,Montréal,1,0,0,0,0,103,0.0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
2020-03-06,Montréal,1,0,0,0,0,114,0.0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
2020-03-07,Montréal,1,0,0,0,0,128,4.76,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
2020-03-08,Montréal,1,0,0,0,0,138,0.0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
2020-03-09,Montréal,2,0,0,0,0,151,0.0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
2020-03-10,Montréal,3,0,0,0,0,176,0.0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
2020-03-11,Montréal,3,0,1,0,0,236,0.0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
2020-03-12,Montréal,3,0,1,0,0,308,2.22,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
2020-03-13,Montréal,7,0,1,0,0,387,1.0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
2020-03-14,Montréal,8,0,1,0,0,427,1.54,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
2020-03-15,Montréal,10,0,1,0,0,555,0.61,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
2020-03-16,Montréal,18,0,2,0,0,664,1.3,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
2020-03-17,Montréal,22,0,3,0,0,810,2.4,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan
